date,pattern,signal_time,entry_time,entry,sl,tp,pnl_r,exit_reason,exit_time
2025-12-08,D_FIRST_PULLBACK,2025-12-08 09:15:00+00:00,2025-12-08 09:30:00+00:00,25761.73,25734.1,25844.62,0.0,BE_HIT,2025-12-08 13:30:00+00:00
2025-12-09,D_FIRST_PULLBACK,2025-12-09 05:30:00+00:00,2025-12-09 05:45:00+00:00,25655.3,25621.8,25755.8,-1.0,SL_HIT,2025-12-09 09:30:00+00:00
2025-12-09,D_FIRST_PULLBACK,2025-12-09 10:30:00+00:00,2025-12-09 10:45:00+00:00,25650.47,25605.6,25785.08,-1.0,SL_HIT,2025-12-09 12:30:00+00:00
2025-12-11,D_FIRST_PULLBACK,2025-12-11 04:45:00+00:00,2025-12-11 05:00:00+00:00,25494.82,25464.32,25586.32,-1.0,SL_HIT,2025-12-11 05:15:00+00:00
2025-12-11,D_FIRST_PULLBACK,2025-12-11 06:15:00+00:00,2025-12-11 06:30:00+00:00,25501.25,25455.37,25638.89,-1.0,SL_HIT,2025-12-11 07:30:00+00:00
2025-12-11,D_FIRST_PULLBACK,2025-12-11 07:45:00+00:00,2025-12-11 08:00:00+00:00,25516.62,25454.62,25702.62,0.0,BE_HIT,2025-12-11 13:45:00+00:00
2025-12-12,D_FIRST_PULLBACK,2025-12-12 01:00:00+00:00,2025-12-12 01:15:00+00:00,25680.47,25643.85,25790.33,-1.0,SL_HIT,2025-12-12 03:00:00+00:00
2025-12-12,D_FIRST_PULLBACK,2025-12-12 12:00:00+00:00,2025-12-12 12:15:00+00:00,25570.52,25533.4,25681.88,-1.0,SL_HIT,2025-12-12 13:30:00+00:00
2025-12-15,D_FIRST_PULLBACK,2025-12-15 03:30:00+00:00,2025-12-15 03:45:00+00:00,25247.29,25223.41,25318.93,-1.0,SL_HIT,2025-12-15 07:00:00+00:00
2025-12-15,D_FIRST_PULLBACK,2025-12-15 08:15:00+00:00,2025-12-15 08:30:00+00:00,25304.84,25264.34,25426.34,0.0,BE_HIT,2025-12-15 13:30:00+00:00
2025-12-16,D_FIRST_PULLBACK,2025-12-16 10:30:00+00:00,2025-12-16 10:45:00+00:00,25014.16,24981.66,25111.66,3.0,TP_HIT,2025-12-16 12:30:00+00:00
2025-12-17,D_FIRST_PULLBACK,2025-12-17 00:45:00+00:00,2025-12-17 01:00:00+00:00,25112.2,25066.82,25248.34,-1.0,SL_HIT,2025-12-17 04:00:00+00:00
2025-12-17,D_FIRST_PULLBACK,2025-12-17 07:15:00+00:00,2025-12-17 07:30:00+00:00,25166.75,25143.75,25235.75,3.0,TP_HIT,2025-12-17 09:00:00+00:00
2025-12-17,D_FIRST_PULLBACK,2025-12-17 10:30:00+00:00,2025-12-17 10:45:00+00:00,25246.0,25222.75,25315.75,-1.0,SL_HIT,2025-12-17 12:00:00+00:00
2025-12-18,D_FIRST_PULLBACK,2025-12-18 01:00:00+00:00,2025-12-18 01:15:00+00:00,24737.36,24710.23,24818.75,-1.0,SL_HIT,2025-12-18 02:00:00+00:00
2025-12-18,D_FIRST_PULLBACK,2025-12-18 04:30:00+00:00,2025-12-18 04:45:00+00:00,24745.48,24724.23,24809.23,-1.0,SL_HIT,2025-12-18 05:45:00+00:00
2025-12-18,D_FIRST_PULLBACK,2025-12-18 06:00:00+00:00,2025-12-18 06:15:00+00:00,24776.78,24712.98,24968.18,3.0,TP_HIT,2025-12-18 12:30:00+00:00
2025-12-19,B_FLAT_TOP,2025-12-19 00:45:00+00:00,2025-12-19 00:45:00+00:00,25027.5,24973.12,25190.64,3.0,TP_HIT,2025-12-19 13:30:00+00:00
2025-12-22,D_FIRST_PULLBACK,2025-12-22 08:00:00+00:00,2025-12-22 08:15:00+00:00,25471.11,25449.11,25537.11,3.0,TP_HIT,2025-12-22 13:15:00+00:00
2025-12-23,D_FIRST_PULLBACK,2025-12-23 07:15:00+00:00,2025-12-23 07:30:00+00:00,25467.73,25436.73,25560.73,-1.0,SL_HIT,2025-12-23 11:15:00+00:00
2025-12-29,D_FIRST_PULLBACK,2025-12-29 02:30:00+00:00,2025-12-29 02:45:00+00:00,25637.94,25614.07,25709.55,-1.0,SL_HIT,2025-12-29 04:15:00+00:00
2025-12-29,D_FIRST_PULLBACK,2025-12-29 10:30:00+00:00,2025-12-29 10:45:00+00:00,25559.12,25524.87,25661.87,-1.0,SL_HIT,2025-12-29 11:45:00+00:00
2025-12-30,D_FIRST_PULLBACK,2025-12-30 00:45:00+00:00,2025-12-30 01:00:00+00:00,25515.87,25494.74,25579.26,-1.0,SL_HIT,2025-12-30 01:45:00+00:00
2025-12-31,D_FIRST_PULLBACK,2025-12-31 02:00:00+00:00,2025-12-31 02:15:00+00:00,25421.85,25398.6,25491.6,-1.0,SL_HIT,2025-12-31 04:45:00+00:00
2025-12-31,D_FIRST_PULLBACK,2025-12-31 09:15:00+00:00,2025-12-31 09:30:00+00:00,25379.53,25355.03,25453.03,3.0,TP_HIT,2025-12-31 12:30:00+00:00
2026-01-02,D_FIRST_PULLBACK,2026-01-02 02:45:00+00:00,2026-01-02 03:00:00+00:00,25422.44,25393.44,25509.44,3.0,TP_HIT,2026-01-02 07:45:00+00:00
2026-01-05,D_FIRST_PULLBACK,2026-01-05 01:45:00+00:00,2026-01-05 02:00:00+00:00,25280.63,25259.76,25343.24,0.0,BE_HIT,2026-01-05 07:00:00+00:00
2026-01-06,D_FIRST_PULLBACK,2026-01-06 01:30:00+00:00,2026-01-06 01:45:00+00:00,25423.47,25402.22,25487.22,0.0,BE_HIT,2026-01-06 07:00:00+00:00
2026-01-06,D_FIRST_PULLBACK,2026-01-06 11:00:00+00:00,2026-01-06 11:15:00+00:00,25423.64,25400.02,25494.5,0.0,BE_HIT,2026-01-06 13:30:00+00:00
2026-01-08,D_FIRST_PULLBACK,2026-01-08 06:15:00+00:00,2026-01-08 06:30:00+00:00,25572.83,25496.9,25800.62,-1.0,SL_HIT,2026-01-08 13:30:00+00:00
2026-01-09,D_FIRST_PULLBACK,2026-01-09 04:45:00+00:00,2026-01-09 05:00:00+00:00,25511.11,25485.61,25587.61,-1.0,SL_HIT,2026-01-09 06:15:00+00:00
2026-01-09,D_FIRST_PULLBACK,2026-01-09 08:15:00+00:00,2026-01-09 08:30:00+00:00,25515.28,25480.91,25618.39,3.0,TP_HIT,2026-01-09 12:30:00+00:00
2026-01-12,D_FIRST_PULLBACK,2026-01-12 08:45:00+00:00,2026-01-12 09:00:00+00:00,25526.85,25494.6,25623.6,3.0,TP_HIT,2026-01-12 13:30:00+00:00
2026-01-13,D_FIRST_PULLBACK,2026-01-13 01:00:00+00:00,2026-01-13 01:15:00+00:00,25722.43,25677.43,25857.43,3.0,TP_HIT,2026-01-13 12:30:00+00:00
2026-01-14,D_FIRST_PULLBACK,2026-01-14 11:15:00+00:00,2026-01-14 11:30:00+00:00,25606.8,25534.8,25822.8,-1.0,SL_HIT,2026-01-14 13:30:00+00:00
2026-01-15,D_FIRST_PULLBACK,2026-01-15 00:45:00+00:00,2026-01-15 01:00:00+00:00,25465.5,25398.37,25666.89,3.0,TP_HIT,2026-01-15 08:30:00+00:00
2026-01-15,D_FIRST_PULLBACK,2026-01-15 11:45:00+00:00,2026-01-15 12:00:00+00:00,25687.55,25646.92,25809.44,0.0,BE_HIT,2026-01-15 13:45:00+00:00
2026-01-16,D_FIRST_PULLBACK,2026-01-16 01:15:00+00:00,2026-01-16 01:30:00+00:00,25627.14,25601.64,25703.64,3.0,TP_HIT,2026-01-16 10:15:00+00:00
2026-01-19,D_FIRST_PULLBACK,2026-01-19 04:15:00+00:00,2026-01-19 04:30:00+00:00,25263.03,25219.4,25393.92,-1.0,SL_HIT,2026-01-19 06:00:00+00:00
2026-01-19,D_FIRST_PULLBACK,2026-01-19 10:15:00+00:00,2026-01-19 10:30:00+00:00,25161.83,25112.95,25308.47,-1.0,SL_HIT,2026-01-19 13:30:00+00:00
2026-01-20,D_FIRST_PULLBACK,2026-01-20 01:30:00+00:00,2026-01-20 01:45:00+00:00,25279.91,25242.78,25391.3,-1.0,SL_HIT,2026-01-20 03:45:00+00:00
2026-01-20,D_FIRST_PULLBACK,2026-01-20 10:15:00+00:00,2026-01-20 10:30:00+00:00,25052.46,25024.33,25136.85,0.0,BE_HIT,2026-01-20 12:30:00+00:00
2026-01-21,D_FIRST_PULLBACK,2026-01-21 02:15:00+00:00,2026-01-21 02:30:00+00:00,25076.41,25033.54,25205.02,-1.0,SL_HIT,2026-01-21 08:30:00+00:00
2026-01-21,D_FIRST_PULLBACK,2026-01-21 12:45:00+00:00,2026-01-21 13:00:00+00:00,24936.71,24895.84,25059.32,3.0,TP_HIT,2026-01-21 13:15:00+00:00
2026-01-22,D_FIRST_PULLBACK,2026-01-22 12:45:00+00:00,2026-01-22 13:00:00+00:00,25593.47,25536.47,25764.47,-1.0,SL_HIT,2026-01-22 13:30:00+00:00
2026-01-23,D_FIRST_PULLBACK,2026-01-23 02:00:00+00:00,2026-01-23 02:15:00+00:00,25554.3,25525.92,25639.44,-1.0,SL_HIT,2026-01-23 07:00:00+00:00
2026-01-26,D_FIRST_PULLBACK,2026-01-26 12:00:00+00:00,2026-01-26 12:15:00+00:00,25571.51,25545.26,25650.26,-1.0,SL_HIT,2026-01-26 12:30:00+00:00
2026-01-26,D_FIRST_PULLBACK,2026-01-26 12:45:00+00:00,2026-01-26 13:00:00+00:00,25586.63,25528.38,25761.38,3.0,TP_HIT,2026-01-26 14:45:00+00:00
2026-01-27,B_FLAT_TOP,2026-01-27 01:00:00+00:00,2026-01-27 01:00:00+00:00,25820.19,25656.64215,26310.83355,0.0,EOD,2026-01-27 23:45:00+00:00
2026-01-28,D_FIRST_PULLBACK,2026-01-28 03:00:00+00:00,2026-01-28 03:15:00+00:00,26095.41,26068.66,26175.66,3.0,TP_HIT,2026-01-28 05:00:00+00:00
2026-01-28,D_FIRST_PULLBACK,2026-01-28 10:30:00+00:00,2026-01-28 10:45:00+00:00,26189.21,26163.46,26266.46,-1.0,SL_HIT,2026-01-28 11:00:00+00:00
2026-01-29,D_FIRST_PULLBACK,2026-01-29 02:00:00+00:00,2026-01-29 02:15:00+00:00,26058.9,26026.65,26155.65,3.0,TP_HIT,2026-01-29 07:15:00+00:00
2026-01-30,D_FIRST_PULLBACK,2026-01-30 02:30:00+00:00,2026-01-30 02:45:00+00:00,25733.76,25707.26,25813.26,-1.0,SL_HIT,2026-01-30 05:00:00+00:00
2026-01-30,D_FIRST_PULLBACK,2026-01-30 07:45:00+00:00,2026-01-30 08:00:00+00:00,25648.56,25571.06,25881.06,-1.0,SL_HIT,2026-01-30 08:15:00+00:00
2026-01-30,D_FIRST_PULLBACK,2026-01-30 09:00:00+00:00,2026-01-30 09:15:00+00:00,25617.68,25529.31,25882.79,0.0,BE_HIT,2026-01-30 16:00:00+00:00
2026-02-02,D_FIRST_PULLBACK,2026-02-02 08:15:00+00:00,2026-02-02 08:30:00+00:00,25326.34,25244.72,25571.2,3.0,TP_HIT,2026-02-02 13:30:00+00:00
2026-02-03,D_FIRST_PULLBACK,2026-02-03 02:30:00+00:00,2026-02-03 02:45:00+00:00,25851.14,25804.77,25990.25,-1.0,SL_HIT,2026-02-03 13:30:00+00:00
2026-02-04,D_FIRST_PULLBACK,2026-02-04 01:00:00+00:00,2026-02-04 01:15:00+00:00,25350.25,25309.38,25472.86,-1.0,SL_HIT,2026-02-04 01:30:00+00:00
2026-02-04,D_FIRST_PULLBACK,2026-02-04 03:30:00+00:00,2026-02-04 03:45:00+00:00,25334.0,25312.13,25399.61,-1.0,SL_HIT,2026-02-04 04:00:00+00:00
2026-02-04,D_FIRST_PULLBACK,2026-02-04 04:45:00+00:00,2026-02-04 05:00:00+00:00,25337.5,25303.75,25438.75,0.0,BE_HIT,2026-02-04 07:15:00+00:00
2026-02-05,D_FIRST_PULLBACK,2026-02-05 03:30:00+00:00,2026-02-05 03:45:00+00:00,24911.12,24813.75,25203.23,-1.0,SL_HIT,2026-02-05 11:15:00+00:00
2026-02-06,D_FIRST_PULLBACK,2026-02-06 02:00:00+00:00,2026-02-06 02:15:00+00:00,24437.15,24412.15,24512.15,-1.0,SL_HIT,2026-02-06 02:30:00+00:00
2026-02-06,D_FIRST_PULLBACK,2026-02-06 07:00:00+00:00,2026-02-06 07:15:00+00:00,24474.07,24392.32,24719.32,3.0,TP_HIT,2026-02-06 10:00:00+00:00
2026-02-09,D_FIRST_PULLBACK,2026-02-09 04:15:00+00:00,2026-02-09 04:30:00+00:00,25117.97,25085.72,25214.72,-1.0,SL_HIT,2026-02-09 05:00:00+00:00
2026-02-09,D_FIRST_PULLBACK,2026-02-09 11:00:00+00:00,2026-02-09 11:15:00+00:00,25003.39,24924.39,25240.39,-1.0,SL_HIT,2026-02-09 13:30:00+00:00
2026-02-10,D_FIRST_PULLBACK,2026-02-10 00:45:00+00:00,2026-02-10 01:00:00+00:00,25245.8,25211.3,25349.3,-1.0,SL_HIT,2026-02-10 01:30:00+00:00
2026-02-10,D_FIRST_PULLBACK,2026-02-10 04:30:00+00:00,2026-02-10 04:45:00+00:00,25248.3,25222.68,25325.16,-1.0,SL_HIT,2026-02-10 05:15:00+00:00
2026-02-10,D_FIRST_PULLBACK,2026-02-10 08:00:00+00:00,2026-02-10 08:15:00+00:00,25288.98,25237.23,25444.23,-1.0,SL_HIT,2026-02-10 12:00:00+00:00
2026-02-11,D_FIRST_PULLBACK,2026-02-11 02:30:00+00:00,2026-02-11 02:45:00+00:00,25247.08,25216.7,25338.22,-1.0,SL_HIT,2026-02-11 03:30:00+00:00
2026-02-11,D_FIRST_PULLBACK,2026-02-11 07:30:00+00:00,2026-02-11 07:45:00+00:00,25171.63,25123.75,25315.27,-1.0,SL_HIT,2026-02-11 08:30:00+00:00
2026-02-11,D_FIRST_PULLBACK,2026-02-11 10:00:00+00:00,2026-02-11 10:15:00+00:00,25130.5,25080.38,25280.86,3.0,TP_HIT,2026-02-11 12:45:00+00:00
2026-02-12,D_FIRST_PULLBACK,2026-02-12 02:30:00+00:00,2026-02-12 02:45:00+00:00,25237.05,25198.8,25351.8,0.0,BE_HIT,2026-02-12 13:30:00+00:00
2026-02-13,D_FIRST_PULLBACK,2026-02-13 01:00:00+00:00,2026-02-13 01:15:00+00:00,24735.98,24681.73,24898.73,-1.0,SL_HIT,2026-02-13 02:45:00+00:00
2026-02-13,D_FIRST_PULLBACK,2026-02-13 05:45:00+00:00,2026-02-13 06:00:00+00:00,24630.11,24560.61,24838.61,-1.0,SL_HIT,2026-02-13 10:30:00+00:00
2026-02-13,D_FIRST_PULLBACK,2026-02-13 11:30:00+00:00,2026-02-13 11:45:00+00:00,24640.03,24588.53,24794.53,-1.0,SL_HIT,2026-02-13 12:00:00+00:00
2026-02-13,D_FIRST_PULLBACK,2026-02-13 12:30:00+00:00,2026-02-13 12:45:00+00:00,24691.78,24538.16,25152.64,-1.0,SL_HIT,2026-02-13 13:30:00+00:00
2026-02-16,B_FLAT_TOP,2026-02-16 00:45:00+00:00,2026-02-16 00:45:00+00:00,24786.82,24649.20465,25199.66605,-1.0,SL_HIT,2026-02-16 13:30:00+00:00
2026-02-17,D_FIRST_PULLBACK,2026-02-17 05:45:00+00:00,2026-02-17 06:00:00+00:00,24557.77,24531.02,24638.02,-1.0,SL_HIT,2026-02-17 06:15:00+00:00
2026-02-17,D_FIRST_PULLBACK,2026-02-17 06:30:00+00:00,2026-02-17 06:45:00+00:00,24556.07,24513.2,24684.68,0.0,BE_HIT,2026-02-17 07:45:00+00:00
2026-02-18,D_FIRST_PULLBACK,2026-02-18 00:45:00+00:00,2026-02-18 01:00:00+00:00,24675.79,24642.29,24776.29,3.0,TP_HIT,2026-02-18 05:45:00+00:00
2026-02-18,D_FIRST_PULLBACK,2026-02-18 06:30:00+00:00,2026-02-18 06:45:00+00:00,24770.84,24733.84,24881.84,3.0,TP_HIT,2026-02-18 11:00:00+00:00
2026-02-19,D_FIRST_PULLBACK,2026-02-19 00:45:00+00:00,2026-02-19 01:00:00+00:00,24903.83,24868.7,25009.22,0.0,BE_HIT,2026-02-19 07:45:00+00:00
2026-02-19,D_FIRST_PULLBACK,2026-02-19 11:15:00+00:00,2026-02-19 11:30:00+00:00,24811.0,24745.75,25006.75,-1.0,SL_HIT,2026-02-19 12:15:00+00:00
2026-02-20,D_FIRST_PULLBACK,2026-02-20 02:00:00+00:00,2026-02-20 02:15:00+00:00,24838.3,24812.42,24915.94,3.0,TP_HIT,2026-02-20 08:15:00+00:00
2026-02-23,D_FIRST_PULLBACK,2026-02-23 02:45:00+00:00,2026-02-23 03:00:00+00:00,24784.96,24756.34,24870.82,-1.0,SL_HIT,2026-02-23 03:30:00+00:00
2026-02-23,D_FIRST_PULLBACK,2026-02-23 05:45:00+00:00,2026-02-23 06:00:00+00:00,24810.71,24784.84,24888.32,3.0,TP_HIT,2026-02-23 08:00:00+00:00
2026-02-24,D_FIRST_PULLBACK,2026-02-24 08:00:00+00:00,2026-02-24 08:15:00+00:00,24783.37,24707.25,25011.73,-1.0,SL_HIT,2026-02-24 13:30:00+00:00
2026-02-25,D_FIRST_PULLBACK,2026-02-25 09:30:00+00:00,2026-02-25 09:45:00+00:00,25037.04,25014.79,25103.79,3.0,TP_HIT,2026-02-25 12:45:00+00:00
2026-02-26,D_FIRST_PULLBACK,2026-02-26 07:15:00+00:00,2026-02-26 07:30:00+00:00,25323.26,25296.39,25403.87,-1.0,SL_HIT,2026-02-26 07:45:00+00:00
